"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5597","Verify Sub-ordinate Employee User has LIMITED access to Leaves module","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5257","Enter Key Submission for login page; login button","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","11365","Verifies if Browser console does not log password in plain text during or after form submission","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6563","Verify user form fields are username and password are required","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","12942","Verify disabled user cannot access any system modules via direct URL","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","11225","Verify Save and Cancel buttons are hidden while form submission is in progress","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee test case that should run in series to avoid duplicate employee ID issue","","",""
"","5609","Verify user error when form fields password and confirm passowrd are not matching","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","13597","Verify disabled user session is terminated if already logged in","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5186","User Session Expired Automatically - Re-login Required","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","2198","Verify Add Employee with credentials succeeds under Slow 3G network conditions","staging-firefox","2026-05-10","skipped","2026-05-10","","","",""
"","1","End to End test case of password reset/recovery using forgot password feature","staging-chrome","2026-05-10","skipped","2026-05-10","","","",""
"","4739","Verify disabled user cannot access any system modules via direct URL","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","9878","Verifies if Browser console does not log password in plain text during or after form submission","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","6677","Enter Key Submission for login page; password field","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","3805","Verify Case Sensitivity of Password","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","2191","Is Password Field getting masked","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","12793","Verify disabled user can login again after re-enabling","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5969","Verify weekends/invalid leave application is rejected","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5648","TC_PIM_USER_ADD_004 - Add New User Form Validation - Verify Last Name field accepts valid entry","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","5312","Verify user form fields password and confirm passowrd are matching","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","63634","Enter Key Submission for login page; password field","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","5271","Admin cannot add a new employee profile photo which has invalid format","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: profile photo validation","","",""
"","0","End to End test case of password reset/recovery using forgot password feature","staging-firefox","2026-05-10","skipped","2026-05-10","","","",""
"","3682","Ensure OrangeHRM Logo is being Displayed","staging-webkit","2026-05-10","passed","2026-05-10","","","",""
"","5852","TC_PIM_USER_ADD_003 - Add New User Form Validation - Verify Middle Name field accepts valid entry","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","11723","Verify disabled user can login again after re-enabling","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","17608","Login with Disabled User Account","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","3927","Verifying User Credentials NOT getting exposed as clear text","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","13678","lighthouse performance metrics for login page","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","4688","Verifying User Credentials NOT getting exposed as clear text","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","13066","TC_PIM_USER_ADD_029 - Form is responsive and usable at Mobile (375×812)","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","5039","User Session Expired Automatically - Re-login Required","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5090","Verifies Password and Confirm Password fields mask input and are not displayed in plain text","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","2205","Login and Dashboard Page Response Time","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","7478","TC_PIM_USER_ADD_006 - Add New User Form Validation - Verify auto populated Employee ID field is editable","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","5614","user can login, see profile button, and logout","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","67613","TC_PIM_USER_ADD_028 - Add New User Form Validation - Verify invalid (format) Employee ID is rejected","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","4334","Login with Invalid Username and / or Password","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","11009","Admin cannot add a new employee profile photo if it is too large","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: profile photo validation","","",""
"","67417","TC_PIM_USER_ADD_007 - Add New User Form Validation - Verify duplicate Employee ID is rejected","staging-firefox","2026-05-10","failed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","5424","TC_PIM_USER_ADD_006 - Add New User Form Validation - Verify auto populated Employee ID field is editable","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
